iter	MultiClass
0	2.693067725
1	2.618573748
2	2.551848424
3	2.490081011
4	2.43994641
5	2.386403048
6	2.336164428
7	2.295381005
8	2.252470075
9	2.218493669
10	2.186878738
11	2.14941681
12	2.116434371
13	2.086745447
14	2.057555798
15	2.032312617
16	2.00275293
17	1.977574628
18	1.950175177
19	1.926331216
20	1.900176817
21	1.877555782
22	1.852508807
23	1.830262452
24	1.809549503
25	1.786998292
26	1.769749928
27	1.752903624
28	1.7352568
29	1.716377708
30	1.700090704
31	1.685547408
32	1.669409265
33	1.653360171
34	1.636822997
35	1.619458973
36	1.606962622
37	1.588973587
38	1.572303276
39	1.558531008
40	1.544933734
41	1.531749251
42	1.519498146
43	1.505855249
44	1.493061142
45	1.481901368
46	1.470722751
47	1.45862127
48	1.446460529
49	1.435354356
50	1.426894309
51	1.416244171
52	1.405690357
53	1.398293649
54	1.389456312
55	1.3784062
56	1.371772914
57	1.36305711
58	1.354198455
59	1.344830676
60	1.336112171
61	1.328935854
62	1.320280346
63	1.312481962
64	1.304347176
65	1.296736557
66	1.288495799
67	1.281083345
68	1.275165261
69	1.26836664
70	1.262885562
71	1.256547539
72	1.250077098
73	1.242961275
74	1.238388294
75	1.232670326
76	1.226434041
77	1.220447806
78	1.213808944
79	1.208260706
80	1.201884271
81	1.195491966
82	1.189018103
83	1.183730687
84	1.177822509
85	1.173155573
86	1.167137636
87	1.163002443
88	1.158053056
89	1.1526696
90	1.146879451
91	1.143810675
92	1.140999987
93	1.135544597
94	1.131140062
95	1.127710101
96	1.122183099
97	1.117875266
98	1.112801153
99	1.108668683
100	1.104927546
101	1.100888784
102	1.099129642
103	1.094842915
104	1.093379651
105	1.08974206
106	1.085557531
107	1.081647184
108	1.077495466
109	1.074013466
110	1.070028676
111	1.066834212
112	1.064821382
113	1.062706338
114	1.058708288
115	1.055207988
116	1.052738277
117	1.049526509
118	1.046119287
119	1.043386512
120	1.041155355
121	1.0378741
122	1.034652497
123	1.032651176
124	1.029783698
125	1.026844833
126	1.024483761
127	1.022772247
128	1.019541723
129	1.016564539
130	1.013968067
131	1.010852237
132	1.00762814
133	1.004744294
134	1.002402674
135	0.9988889309
136	0.9973559463
137	0.9950300189
138	0.9931026396
139	0.9905574137
140	0.9888406205
141	0.9866854036
142	0.9840013278
143	0.9812808851
144	0.9791312082
145	0.9772180339
146	0.9743841389
147	0.9720299268
148	0.97062498
149	0.9684623879
150	0.9663988778
151	0.9640351417
152	0.9617132604
153	0.9595967826
154	0.9571385294
155	0.9542470997
156	0.9525666386
157	0.9502700674
158	0.9484446312
159	0.9467385559
160	0.9453414869
161	0.9442711419
162	0.9432661168
163	0.9405525248
164	0.9388966591
165	0.9368912753
166	0.9348640274
167	0.9333592363
168	0.9315287033
169	0.9297399881
170	0.9280161389
171	0.9265789623
172	0.9247795042
173	0.9235726336
174	0.9229535363
175	0.9220492701
176	0.9203805941
177	0.918372948
178	0.9161180126
179	0.9148879189
180	0.9127483622
181	0.9111389426
182	0.9094562573
183	0.9076494402
184	0.9059650124
185	0.9050090137
186	0.9033707099
187	0.9022141687
188	0.9014435191
189	0.9007167887
190	0.8997994477
191	0.8983451496
192	0.896850932
193	0.8951420913
194	0.8938597997
195	0.8928810336
196	0.8912874266
197	0.8906920433
198	0.8892139279
199	0.887582969
200	0.8861336178
201	0.8849172561
202	0.8829615403
203	0.8822814285
204	0.881625974
205	0.8799020213
206	0.8787895533
207	0.8777630809
208	0.8759579069
209	0.8744409822
210	0.8729139866
211	0.8721608124
212	0.8712191359
213	0.8699651947
214	0.8692117623
215	0.8686729464
216	0.8681426249
217	0.8676175536
218	0.8668813275
219	0.8657721371
220	0.8646301165
221	0.8631246515
222	0.8626110249
223	0.861815712
224	0.8603050692
225	0.8590014961
226	0.8579440586
227	0.857268106
228	0.8568230658
229	0.8557286603
230	0.854261844
231	0.8536964892
232	0.8521517349
233	0.8512739003
234	0.850024673
235	0.8493394581
236	0.8476318059
237	0.8462933039
238	0.8459000969
239	0.844774436
240	0.8439489988
241	0.8436064549
242	0.843037425
243	0.8427342918
244	0.8418317576
245	0.8406253421
246	0.8398384427
247	0.8391842453
248	0.8375976716
249	0.8367227893
250	0.8354709148
251	0.8339283044
252	0.8332839348
253	0.8324949979
254	0.8315098064
255	0.8306531909
256	0.8294077659
257	0.828120998
258	0.8274311325
259	0.8269001537
260	0.8264694785
261	0.8257780874
262	0.824928178
263	0.8245005872
264	0.8238050336
265	0.8228582959
266	0.8216186893
267	0.8204780873
268	0.8195949782
269	0.8184402734
270	0.8179873247
271	0.816670271
272	0.8161181819
273	0.8153600157
274	0.814832554
275	0.8138880668
276	0.8133830585
277	0.813098072
278	0.812401493
279	0.8115320838
280	0.810463255
281	0.8091148436
282	0.808394993
283	0.8079817466
284	0.807121236
285	0.8067887054
286	0.8057882567
287	0.8051024817
288	0.8047921167
289	0.8039276337
290	0.802938055
291	0.802073052
292	0.8017144535
293	0.8007024151
294	0.7999426282
295	0.7988205615
296	0.7976383238
297	0.7964862054
298	0.7953386946
299	0.7946034334
300	0.7943921146
301	0.794023554
302	0.7927507872
303	0.7921832121
304	0.7918240617
305	0.7914209189
306	0.7903869477
307	0.7896410588
308	0.789299313
309	0.7884406405
310	0.7873955969
311	0.78661346
312	0.7859763348
313	0.7857057548
314	0.785453111
315	0.7849911503
316	0.7844244878
317	0.7841611067
318	0.7833362132
319	0.7820940265
320	0.781034238
321	0.7804016048
322	0.7797644158
323	0.7789276786
324	0.7782421957
325	0.7774999442
326	0.776652711
327	0.7764362106
328	0.7757190338
329	0.7752850248
330	0.7750577776
331	0.7741318355
332	0.7732244199
333	0.7724558858
334	0.7719040152
335	0.7712210928
336	0.7701943893
337	0.7693359284
338	0.7687505724
339	0.7684864227
340	0.7677883813
341	0.7673897195
342	0.766730465
343	0.7660797151
344	0.7653568086
345	0.7649184086
346	0.7646017967
347	0.7643035213
348	0.7640801325
349	0.763542045
350	0.7628124013
351	0.7625634839
