iter	Passed	Remaining
0	21	21222
1	43	21642
2	65	21650
3	86	21621
4	108	21654
5	132	21987
6	155	22068
7	178	22076
8	200	22028
9	222	22076
10	246	22193
11	283	23301
12	307	23340
13	332	23403
14	354	23301
15	385	23684
16	413	23913
17	443	24198
18	471	24362
19	497	24353
20	520	24278
21	542	24113
22	564	23985
23	588	23942
24	624	24342
25	653	24482
26	679	24499
27	704	24458
28	727	24361
29	752	24320
30	788	24635
31	818	24770
32	845	24773
33	870	24745
34	892	24607
35	913	24455
36	936	24368
37	963	24385
38	1002	24706
39	1036	24878
40	1060	24803
41	1084	24728
42	1105	24601
43	1125	24454
44	1150	24414
45	1172	24312
46	1197	24283
47	1220	24200
48	1243	24142
49	1265	24040
50	1285	23926
51	1306	23819
52	1330	23776
53	1359	23821
54	1383	23771
55	1404	23677
56	1425	23576
57	1445	23474
58	1466	23386
59	1486	23290
60	1509	23236
61	1540	23299
62	1563	23260
63	1585	23182
64	1605	23101
65	1626	23018
66	1647	22936
67	1667	22852
68	1688	22788
69	1720	22852
70	1743	22813
71	1763	22733
72	1784	22662
73	1805	22593
74	1826	22524
75	1847	22456
76	1869	22408
77	1896	22415
78	1921	22400
79	1941	22328
80	1961	22259
81	1982	22194
82	2003	22133
83	2023	22067
84	2044	22003
85	2075	22055
86	2116	22213
87	2140	22184
88	2161	22120
89	2181	22058
90	2201	21994
91	2222	21932
92	2242	21870
93	2267	21851
94	2293	21851
95	2319	21845
96	2344	21821
97	2364	21765
98	2385	21705
99	2405	21647
100	2425	21588
101	2447	21550
102	2455	21385
103	2484	21402
104	2492	21249
105	2513	21196
106	2538	21185
107	2558	21133
108	2579	21083
109	2599	21031
110	2620	20985
111	2642	20952
112	2668	20945
113	2694	20942
114	2715	20896
115	2735	20845
116	2755	20797
117	2776	20751
118	2796	20705
119	2820	20682
120	2848	20691
121	2882	20744
122	2912	20763
123	2933	20722
124	2955	20686
125	2980	20675
126	3002	20636
127	3032	20658
128	3062	20676
129	3086	20658
130	3111	20641
131	3133	20605
132	3159	20598
133	3181	20562
134	3205	20539
135	3234	20546
136	3257	20517
137	3294	20576
138	3320	20566
139	3342	20529
140	3372	20543
141	3394	20507
142	3416	20477
143	3439	20447
144	3468	20455
145	3493	20433
146	3515	20398
147	3536	20357
148	3557	20318
149	3578	20277
150	3600	20242
151	3623	20214
152	3651	20213
